@relation stream-weka.filters.unsupervised.attribute.StringToNominal-R11-weka.filters.unsupervised.attribute.StringToNominal-R12

@attribute Sexo {Female,Male}
@attribute Promedio12 numeric
@attribute UltimoAnio {'2nd Year','1st Year','3rd Year','4th Year',Postgraduate}
@attribute Facultad {'Arts & Social Sciences','Economic & Management Sciences',AgriSciences,Engineering,Science,Law,'Medicine and Health Services',Education}
@attribute 'Promedio2023\%' numeric
@attribute Asignacion {'R 4001- R 5000','R 7001 - R 8000','R 6001 - R 7000','R 5001 - R 6000','R 8000+'}
@attribute Beca {No,Yes}
@attribute HorasEstudio {8+,3-5,1-3,5-8,0}
@attribute Fiestas {'Only weekends',2,3,1,4+,0}
@attribute Bebidas {8+,3-5,5-8,1-3,0}
@attribute ClasesPerdidas {3,4+,2,1,0}
@attribute ModulosSuspendidos {0,3,4+,1,2}
@attribute Relacion {Yes,No}
@attribute AprobacionPadres {Yes,No}
@attribute RelacionPadres {'Very close',Fair,Close,Distant}

@data
Female,76,'2nd Year','Arts & Social Sciences',72,'R 4001- R 5000',No,8+,'Only weekends',8+,3,0,Yes,Yes,'Very close'
Male,89,'2nd Year','Economic & Management Sciences',75,'R 7001 - R 8000',Yes,8+,'Only weekends',3-5,4+,0,No,Yes,'Very close'
Male,76,'1st Year',AgriSciences,55,'R 4001- R 5000',No,3-5,2,8+,3,0,No,Yes,'Very close'
Male,89,'2nd Year',Engineering,84,'R 6001 - R 7000',No,3-5,3,8+,2,0,Yes,Yes,'Very close'
Female,74,'2nd Year','Arts & Social Sciences',52,'R 4001- R 5000',No,3-5,'Only weekends',5-8,1,3,No,Yes,Fair
Male,80,'2nd Year','Economic & Management Sciences',54,'R 5001 - R 6000',No,8+,2,5-8,1,0,No,Yes,'Very close'
Female,85,'2nd Year','Arts & Social Sciences',75,'R 5001 - R 6000',No,3-5,3,3-5,2,0,Yes,Yes,'Very close'
Female,80,'2nd Year','Arts & Social Sciences',75,'R 6001 - R 7000',No,8+,3,8+,0,0,No,Yes,Close
Male,79,'2nd Year','Economic & Management Sciences',64,'R 5001 - R 6000',No,3-5,2,3-5,2,4+,No,Yes,'Very close'
Female,72,'2nd Year','Economic & Management Sciences',76,'R 6001 - R 7000',No,1-3,1,3-5,0,0,Yes,Yes,'Very close'
Female,87,'1st Year',Science,75,'R 4001- R 5000',No,8+,'Only weekends',1-3,0,0,No,Yes,'Very close'
Male,74,'1st Year','Economic & Management Sciences',65,'R 5001 - R 6000',No,1-3,4+,5-8,0,0,Yes,Yes,'Very close'
Male,69,'2nd Year','Arts & Social Sciences',55,'R 6001 - R 7000',No,5-8,'Only weekends',5-8,3,3,No,Yes,'Very close'
Male,79,'2nd Year','Economic & Management Sciences',54,'R 5001 - R 6000',No,5-8,2,0,0,1,No,Yes,Fair
Male,80,'2nd Year',Engineering,62,'R 4001- R 5000',Yes,8+,'Only weekends',5-8,0,2,No,Yes,'Very close'
Female,83,'2nd Year',Law,55,'R 4001- R 5000',No,1-3,'Only weekends',3-5,2,4+,No,Yes,'Very close'
Female,78,'1st Year','Economic & Management Sciences',76,'R 6001 - R 7000',No,8+,2,3-5,2,0,No,Yes,'Very close'
